Word,Dist,Accuracy,Phoneme_Correct,Phoneme_Correct_Percentage,Levenshtein,MaFI
blond,0.8674999999999999,0.1,2.7,0.54,2.6,-0.8674999999999999
blood,0.5869189342403628,0.23809523809523808,2.3333333333333335,0.5833333333333334,3.0476190476190474,-0.5869189342403628
bloody,0.6171354166666667,0.5,3.2,0.64,2.4,-0.6171354166666667
blossom,0.7244318181818182,0.45454545454545453,3.8181818181818183,0.6363636363636364,2.8181818181818183,-0.7244318181818182
blow,0.2984375,0.8,3.5,0.875,0.6,-0.2984375
blown,0.525,0.08333333333333333,3.9166666666666665,0.7833333333333333,1.25,-0.525
blue,0.4528125,0.4,2.8,0.9333333333333333,1.3,-0.4528125
blusher,1.14875,0.0,2.4,0.4,4.4,-1.14875
boast,0.7725,0.0,3.1,0.62,3.0,-0.7725
body,0.8689583333333333,0.1,1.3,0.325,3.5,-0.8689583333333333
book,0.45833333333333337,0.6,2.2,0.7333333333333333,0.9,-0.45833333333333337
bookseller,1.2110305059523812,0.08333333333333333,3.5833333333333335,0.4479166666666667,5.5,-1.2110305059523812
